customerID,gender,tenure,Contract,MonthlyCharges,Churn
6180-YBIQI,Male,5,Month-to-month,24.3,No
6728-DKUCO,Female,72,One year,104.15,No
9750-BOOHV,Female,32,One year,30.15,No
8597-CWYHH,Male,43,One year,94.35,No
2848-YXSMW,Male,72,Two year,19.4,No
0486-HECZI,Male,55,Month-to-month,96.75,Yes
4549-ZDQYY,Female,52,One year,57.95,No
5712-AHQNN,Female,43,Month-to-month,91.65,No
4846-WHAFZ,Female,37,Month-to-month,76.5,Yes
5256-SKJGO,Female,64,Two year,54.6,No
3071-VBYPO,Male,3,Month-to-month,89.85,No
9560-BBZXK,Female,36,Two year,31.05,No
5299-RULOA,Female,10,Month-to-month,100.25,Yes
8402-OOOHJ,Female,41,Two year,20.65,No
9445-ZUEQE,Male,27,Month-to-month,85.2,No
1091-SOZGA,Female,56,One year,99.8,No
2928-HLDBA,Female,6,Month-to-month,20.7,No
0404-SWRVG,Male,3,Month-to-month,74.4,Yes
6497-TILVL,Female,7,Month-to-month,50.7,No
7219-TLZHO,Female,4,Month-to-month,20.85,No
4622-YNKIJ,Male,33,Two year,88.95,No
4412-YLTKF,Female,27,Month-to-month,78.05,Yes
6734-PSBAW,Male,72,Two year,23.55,No
3930-ZGWVE,Male,1,Month-to-month,19.75,No
2639-UGMAZ,Male,71,One year,56.45,No
2876-GZYZC,Female,13,Month-to-month,85.95,No
6207-WIOLX,Female,25,Month-to-month,58.6,Yes
8587-XYZSF,Male,67,Two year,50.55,No
3091-FYHKI,Male,1,Month-to-month,35.45,Yes
2372-HWUHI,Male,2,Month-to-month,44.35,Yes
7799-LGRDP,Female,43,Two year,25.7,No
7850-VWJUU,Female,23,Month-to-month,75,No
3774-VBNXY,Female,64,Two year,20.2,No
6217-KDYWC,Male,57,Two year,19.6,No
0390-DCFDQ,Female,1,Month-to-month,70.45,Yes
3146-MSEGF,Female,72,Two year,88.05,No
4080-OGPJL,Female,8,Month-to-month,71.15,Yes
1095-WGNGG,Female,61,Two year,101.05,No
2636-SJDOU,Male,64,One year,84.3,No
1131-QQZEB,Male,71,Two year,23.95,No
5716-EZXZN,Female,65,Two year,99.05,No
6837-BJYDQ,Male,3,One year,19.6,No
2135-RXIHG,Male,1,Month-to-month,45.65,Yes
6440-DKQGE,Male,30,One year,64.5,No
3466-BYAVD,Male,15,Month-to-month,69.5,No
3780-YVMFA,Female,8,Month-to-month,68.55,No
3874-EQOEP,Male,7,Month-to-month,95,Yes
1679-JRFBR,Female,70,One year,108.15,No
9073-ZZIAY,Male,62,Two year,86.1,No
3077-RSNTJ,Female,6,Month-to-month,19.7,No
6551-GNYDG,Female,14,Month-to-month,80.9,No
9167-APMXZ,Female,22,Month-to-month,84.15,No
2749-CTKAJ,Male,22,One year,20.15,No
6371-NZYEG,Male,16,Two year,64.25,No
7554-NEWDD,Male,10,Two year,25.7,No
8992-VONJD,Female,13,Month-to-month,56,No
0867-MKZVY,Female,20,Month-to-month,82.4,Yes
4482-EWFMI,Female,2,Month-to-month,69.7,No
4648-YPBTM,Male,53,Two year,73.9,No
2907-ILJBN,Female,11,One year,20.6,No
6345-FZOQH,Male,69,Two year,19.9,No
3376-BMGFE,Female,4,Month-to-month,70.9,Yes
5997-OPVFA,Male,72,Two year,89.05,No
3445-HXXGF,Male,58,Month-to-month,45.3,Yes
1159-WFSGR,Female,16,Month-to-month,20.4,No
7654-YWJUF,Male,43,One year,84.25,No
1875-QIVME,Female,2,Month-to-month,104.4,Yes
6727-IOTLZ,Male,14,Two year,81.95,No
0691-JVSYA,Female,53,One year,94.85,Yes
5918-VUKWP,Female,32,One year,20.55,No
1744-JHKYS,Female,34,Month-to-month,24.7,No
2656-FMOKZ,Female,15,Month-to-month,74.45,Yes
2070-FNEXE,Female,7,Month-to-month,76.45,Yes
5947-SGKCL,Female,15,Month-to-month,105.35,No
3712-PKXZA,Male,61,One year,20.55,No
6317-YPKDH,Female,1,Month-to-month,29.95,Yes
6582-OIVSP,Female,1,Month-to-month,45.3,No
9367-WXLCH,Male,8,Month-to-month,84.5,Yes
5524-KHNJP,Male,33,One year,74.75,No
1918-ZBFQJ,Female,13,Month-to-month,79.25,Yes
1024-GUALD,Female,1,Month-to-month,24.8,Yes
4827-USJHP,Male,20,Month-to-month,51.8,No
8167-GJLRN,Male,3,Month-to-month,30.4,No
0956-SYCWG,Female,13,One year,19.65,No
8017-UVSZU,Female,40,Month-to-month,56.6,No
7100-FQPRV,Male,43,One year,71.9,No
2472-OVKUP,Male,6,Month-to-month,91,Yes
2984-RGEYA,Female,69,Two year,19.75,No
9680-NIAUV,Female,72,Two year,109.7,No
2146-EGVDT,Male,59,Two year,19.3,No
2604-IJPDU,Female,20,Month-to-month,96.55,No
9178-JHUVJ,Male,24,Two year,24.1,No
6168-YBYNP,Male,59,Month-to-month,111.35,No
7255-SSFBC,Male,72,Two year,112.25,No
3645-DEYGF,Male,1,Month-to-month,20.75,No
9323-HGFWY,Female,27,One year,101.9,No
8544-GOQSH,Female,14,Month-to-month,80.05,No
3363-DTIVD,Male,71,Two year,105.55,No
7018-WBJNK,Male,13,Month-to-month,78.3,No
9142-KZXOP,Male,44,Month-to-month,68.85,No
7674-YTAFD,Female,33,One year,79.95,No
6348-SNFUS,Male,72,Two year,55.45,No
1285-OKIPP,Male,1,Month-to-month,79.9,Yes
7825-ECJRF,Female,19,Month-to-month,106.6,Yes
1347-KTTTA,Male,64,One year,102.45,No
7841-TZDMQ,Male,2,Month-to-month,46,Yes
4195-NZGTA,Female,1,Month-to-month,25.25,No
7157-SMCFK,Male,61,Two year,19.75,No
4709-LKHYG,Female,29,One year,20,No
2504-DSHIH,Male,23,Month-to-month,86.8,No
0699-NDKJM,Female,57,Month-to-month,58.75,No
9286-BHDQG,Male,72,Two year,45.25,No
0230-WEQUW,Male,66,Two year,56.6,No
2040-LDIWQ,Male,65,Two year,84.2,No
6496-JDSSB,Female,8,Month-to-month,80,No
9408-SSNVZ,Female,4,Month-to-month,70.15,Yes
4443-EMBNA,Female,71,Two year,24.75,No
6469-MRVET,Male,1,One year,20.2,No
0742-MOABM,Male,4,Month-to-month,50.05,Yes
5961-VUSRV,Female,12,One year,19.35,No
6778-JFCMK,Male,24,One year,50.6,No
6341-JVQGF,Female,31,One year,81.15,No
2232-DMLXU,Female,1,Month-to-month,55.2,Yes
4811-JBUVU,Male,30,Month-to-month,89.9,No
0945-TSONX,Female,47,Two year,85.3,No
2651-ZCBXV,Male,54,Two year,108,No
3316-UWXUY,Male,50,Month-to-month,93.5,No
8937-RDTHP,Male,1,Month-to-month,84.6,Yes
7083-MIOPC,Female,72,Two year,20.25,No
1984-GPTEH,Female,29,Month-to-month,25.15,No
1251-KRREG,Male,2,Month-to-month,54.4,Yes
0621-JFHOL,Female,10,Two year,29.6,No
9903-LYSAB,Male,18,Month-to-month,73.15,No
0094-OIFMO,Female,11,Month-to-month,95,Yes
9227-UAQFT,Male,16,Two year,19.75,No
7301-ABVAD,Female,72,Two year,86.6,No
6614-FHDBO,Male,72,Two year,109.2,No
7576-ASEJU,Female,41,One year,74.7,No
9058-HRZSV,Female,65,Month-to-month,94.4,No
4522-AKYLR,Female,13,Month-to-month,54.8,No
0221-WMXNQ,Male,4,Month-to-month,75.35,No
0303-UNCIP,Male,41,One year,65,No
9947-OTFQU,Male,15,Month-to-month,74.4,Yes
0322-YINQP,Male,1,Month-to-month,48.55,Yes
0959-WHOKV,Male,42,One year,99,No
4075-JFPGR,Female,51,One year,93.5,No
4629-NRXKX,Female,2,Month-to-month,70.4,Yes
9514-JDSKI,Male,1,Month-to-month,40.2,Yes
3282-ZISZV,Male,32,One year,83.7,No
3675-YDUPJ,Male,10,Month-to-month,19.85,No
4111-BNXIF,Female,67,Two year,59.55,No
7017-VFHAY,Female,61,Two year,115.1,No
6655-LHBYW,Male,50,One year,114.35,No
4959-JOSRX,Female,2,Month-to-month,44.6,Yes
5046-NUHWD,Female,29,Month-to-month,45,No
7273-TEFQD,Male,3,Month-to-month,41.15,Yes
3606-TWKGI,Male,13,Month-to-month,106.9,Yes
7529-ZDFXI,Male,57,Month-to-month,89.85,No
7605-BDWDC,Female,31,Two year,49.85,No
1950-KSVVJ,Female,45,One year,113.3,No
0123-CRBRT,Female,61,Two year,88.1,No
6292-TOSSS,Male,50,Two year,24.9,No
3197-ARFOY,Female,19,Month-to-month,105,No
6323-AYBRX,Male,59,Two year,19.35,Yes
7014-ZZXAW,Female,71,Two year,24.25,No
4385-GZQXV,Female,16,Month-to-month,94.45,Yes
7633-MVPUY,Male,57,Two year,59.75,No
6366-ZGQGL,Male,1,Month-to-month,24.8,Yes
4716-HHKQH,Male,20,Month-to-month,107.05,No
5940-AHUHD,Male,1,Month-to-month,70.6,Yes
6432-TWQLB,Male,5,Month-to-month,85.4,Yes
4484-GLZOU,Female,52,Month-to-month,105.05,Yes
3179-GBRWV,Male,21,Month-to-month,64.95,No
8645-KWHJO,Male,14,Month-to-month,55,No
4130-MZLCC,Female,5,Month-to-month,50.55,No
0314-TKOSI,Female,6,Month-to-month,55.15,No
8229-MYEJZ,Female,10,Month-to-month,51.2,No
2080-SRCDE,Female,1,Month-to-month,25.4,No
9577-WJVCQ,Female,68,Month-to-month,54.45,No
9512-UIBFX,Male,18,Month-to-month,95.15,Yes
6202-DYYFX,Female,22,One year,76,No
3808-HFKDE,Female,20,Month-to-month,44.35,No
5583-SXDAG,Male,1,Month-to-month,70,Yes
3488-PGMQJ,Male,8,Month-to-month,74.5,Yes
3580-REOAC,Male,10,Month-to-month,44.85,Yes
7534-BFESC,Male,24,Month-to-month,76.1,Yes
3727-OWVYD,Male,35,One year,61.2,No
2294-SALNE,Male,23,One year,86.8,No
4847-TAJYI,Female,6,Month-to-month,89.35,No
1563-IWQEX,Female,12,Month-to-month,19.7,No
8203-XJZRC,Male,1,Month-to-month,20.25,No
6556-DBKZF,Female,71,Two year,76.05,No
6851-WEFYX,Male,35,Month-to-month,100.8,No
2985-JUUBZ,Male,40,Month-to-month,74.55,No
6390-DSAZX,Female,1,Month-to-month,73.6,Yes
0895-LMRSF,Male,23,One year,64.9,No
8098-LLAZX,Female,4,Month-to-month,95.45,Yes
8266-VBFQL,Male,4,Month-to-month,90.4,No
8181-YHCMF,Female,68,Two year,60.3,No
2240-HSJQD,Male,38,Month-to-month,81.85,No
1248-DYXUB,Male,52,Two year,24.8,No
0265-EDXBD,Male,32,Month-to-month,74.9,Yes
4115-BNPJY,Male,29,Two year,75.55,No
3167-SNQPL,Male,38,Month-to-month,101.15,No
4091-TVOCN,Male,48,One year,78.75,No
1098-TDVUQ,Female,1,Month-to-month,19.25,No
7277-OZCGZ,Female,22,Month-to-month,89.05,No
1557-EMYVT,Female,43,Two year,115.05,No
2799-ARNLO,Female,5,Month-to-month,69.35,No
7563-BIUPC,Male,5,Month-to-month,80.6,Yes
5027-YOCXN,Male,51,One year,110.05,No
3973-SKMLN,Male,71,Two year,19.9,No
2321-OMBXY,Female,38,One year,80.3,Yes
2840-XANRC,Male,24,Month-to-month,93.15,Yes
6745-JEFZB,Male,35,Month-to-month,91.5,No
5020-ZSTTY,Female,54,One year,82.45,Yes
9880-TDQAC,Female,72,Two year,60,No
8705-WZCYL,Male,1,Month-to-month,44.8,No
7102-JJVTX,Female,9,One year,48.6,No
8626-PTQGE,Male,69,Two year,60.05,No
4983-CLMLV,Female,52,Month-to-month,102.7,No
5701-YVSVF,Female,11,Month-to-month,82.9,No
5804-LEPIM,Female,2,Month-to-month,70.35,Yes
5697-GOMBF,Female,28,Month-to-month,35.9,No
2739-CACDQ,Female,17,Month-to-month,82.65,No
9385-EHGDO,Female,35,Two year,19.85,No
9498-FIMXL,Female,8,One year,19.2,No
2379-GYFLQ,Male,46,One year,94.9,No
0122-OAHPZ,Female,7,Month-to-month,73.85,Yes
2868-SNELZ,Female,2,Month-to-month,80.6,Yes
4322-RCYMT,Male,68,One year,75.8,Yes
6680-NENYN,Female,43,Two year,104.6,Yes
2088-IEBAU,Female,68,Two year,88.15,No
7982-VCELR,Female,36,Month-to-month,94.8,No
1343-EHPYB,Male,63,Month-to-month,103.4,Yes
6035-BXTTY,Female,32,Month-to-month,54.65,No
6885-PKOAM,Female,71,Two year,85.75,No
7520-HQWJU,Female,66,Month-to-month,67.45,No
9639-BUJXT,Male,63,One year,20.5,No
5924-SNGKP,Female,41,One year,20.25,No
0021-IKXGC,Female,1,Month-to-month,72.1,No
2034-GDRCN,Female,2,Month-to-month,90.4,Yes
8966-SNIZF,Female,70,Two year,19.45,No
6243-OZGFH,Female,23,Month-to-month,44.95,No
4654-DLAMQ,Female,64,One year,97,No
0513-RBGPE,Male,37,Two year,62.8,No
5160-UXJED,Male,17,One year,44.6,No
4115-NZRKS,Female,7,Month-to-month,89.15,No
0219-YTZUE,Male,4,Month-to-month,84.8,Yes
0623-IIHUG,Female,21,Month-to-month,41.9,Yes
4572-DVCGN,Female,10,Month-to-month,80.25,Yes
3351-NGXYI,Female,16,Month-to-month,54.1,No
8984-EYLLL,Male,64,Two year,105.25,No
9057-MSWCO,Male,27,Month-to-month,30.75,Yes
9833-TGFHX,Male,42,One year,97.1,No
9294-TDIPC,Male,5,Month-to-month,20.2,No
5229-DTFYB,Female,41,Two year,98.8,No
0104-PPXDV,Male,58,One year,50.3,No
5176-LMJXE,Female,47,Two year,20.55,No
3583-KRKMD,Male,18,Month-to-month,75.9,No
1010-DIAUQ,Male,5,Month-to-month,96.5,Yes
9069-LGEUL,Male,23,Month-to-month,59.95,No
7302-ZHMHP,Female,1,Month-to-month,19.15,No
9571-EDEBV,Male,71,One year,98.65,No
3520-FJGCV,Male,72,Two year,112.6,No
6563-VRERX,Male,33,One year,20.6,No
0259-GBZSH,Male,2,Month-to-month,85.65,Yes
6122-EFVKN,Male,24,Two year,35.75,No
2805-EDJPQ,Female,56,One year,99.75,No
6862-CQUMB,Male,37,Month-to-month,96.1,No
7156-MXBJE,Female,43,One year,85.1,No
6158-HDPXZ,Male,1,Month-to-month,25.35,No
9601-BRXPO,Female,25,Month-to-month,104.95,Yes
2863-IMQDR,Female,61,Two year,89.65,No
5686-CMAWK,Male,17,One year,86.75,No
5651-CRHKQ,Female,41,One year,86.2,No
6905-NIQIN,Male,1,Month-to-month,50.65,Yes
8204-YJCLA,Male,72,Two year,64.8,No
5167-ZFFMM,Male,1,Month-to-month,90.85,Yes
6583-SZVGP,Male,48,Two year,108.1,No
4895-TMWIR,Male,11,Month-to-month,19.95,Yes
0533-BNWKF,Female,55,Month-to-month,85.45,Yes
1708-PBBOA,Female,42,One year,54.75,No
8782-LKFPK,Male,44,Month-to-month,90.4,No
5522-JBWMO,Male,1,Month-to-month,44,No
3597-MVHJT,Female,27,Month-to-month,95.6,No
9774-NRNAU,Male,27,Month-to-month,84.8,No
0224-RLWWD,Female,2,Month-to-month,44.3,No
9967-ATRFS,Female,19,Month-to-month,19.9,No
3951-NJCVI,Female,42,Month-to-month,95.05,No
2977-CEBSX,Female,66,Two year,90.05,No
0177-PXBAT,Male,33,Month-to-month,109.9,No
6599-CEBNN,Female,34,Month-to-month,73.95,Yes
2519-ERQOJ,Male,33,Month-to-month,54.6,No
5876-QMYLD,Female,23,One year,20.05,No
2277-AXSDC,Female,32,One year,19.75,No
9442-JTWDL,Female,11,One year,20.05,No
0979-PHULV,Male,69,Month-to-month,99.45,Yes
3067-SVMTC,Female,68,One year,55.9,No
5495-GPSRW,Male,20,Two year,19.7,No
7606-BPHHN,Male,72,Two year,19.8,No
4742-DRORA,Male,60,One year,95.4,No
0111-KLBQG,Male,32,Month-to-month,93.95,No
4800-VHZKI,Female,1,Month-to-month,19.9,Yes
7989-CHGTL,Male,1,Month-to-month,19.6,Yes
0334-GDDSO,Male,3,Month-to-month,81.35,Yes
4163-NCJAK,Female,46,One year,24.45,No
5233-AOZUF,Female,29,Month-to-month,74.95,No
5973-EJGDP,Male,51,Month-to-month,87.35,No
1996-DBMUS,Female,48,Month-to-month,70.65,No
7916-VCCPB,Female,16,Month-to-month,73.25,No
4686-GEFRM,Male,70,Two year,98.7,No
5249-QYHEX,Female,40,Two year,24.8,No
0578-SKVMF,Female,22,Month-to-month,83.3,Yes
5564-NEMQO,Female,1,Month-to-month,75.3,Yes
2233-FAGXV,Female,5,Month-to-month,24.3,No
5605-IYGFG,Female,7,Month-to-month,69.85,No
7663-ZTEGJ,Male,29,One year,100.55,No
3935-TBRZZ,Male,44,One year,25.7,No
8111-BKVDS,Female,10,Month-to-month,40.7,No
2055-SIFSS,Female,55,Month-to-month,51.65,No
2806-MLNTI,Male,52,One year,105.1,No
8734-DKSTZ,Female,10,Month-to-month,85.95,No
4360-PNRQB,Male,18,Month-to-month,75.6,No
6152-ONASV,Female,68,One year,58.25,No
9063-ZGTUY,Female,61,Month-to-month,19.4,Yes
7781-HVGMK,Female,72,Two year,65.2,No
2181-UAESM,Male,2,Month-to-month,53.45,No
2957-LOLHO,Male,12,Month-to-month,45.4,Yes
6048-NJXHX,Male,41,Two year,19.75,No
2320-SLKMB,Female,26,Month-to-month,44.45,No
4980-URKXC,Male,36,One year,20.85,No
4376-KFVRS,Male,72,Two year,114.05,No
5886-VLQVU,Male,35,Month-to-month,89.85,No
3577-AMVUX,Male,1,Month-to-month,55.05,No
0771-WLCLA,Female,16,Month-to-month,112.95,No
5628-RKIFK,Female,49,Month-to-month,101.55,No
0206-TBWLC,Female,54,One year,114.65,No
2937-FTHUR,Female,18,Month-to-month,64.8,No
1910-FMXJM,Female,36,Month-to-month,80.4,No
7752-XUSCI,Female,60,Month-to-month,105.9,Yes
4110-PFEUZ,Female,1,Month-to-month,69.55,Yes
0732-OCQOC,Female,52,Two year,25.05,No
5168-MSWXT,Male,8,Month-to-month,94.75,No
1090-ESELR,Male,72,Two year,105.5,No
8592-PLTMQ,Female,64,One year,24.7,No
5760-WRAHC,Female,22,Month-to-month,69.75,No
8847-GEOOQ,Male,60,Month-to-month,60.2,No
0256-LTHVJ,Female,28,Month-to-month,81.05,Yes
4785-FCIFB,Female,61,Two year,24.4,No
8313-NDOIA,Female,24,Month-to-month,104.15,No
5149-CUZUJ,Male,28,One year,92.9,No
0942-KOWSM,Female,30,Two year,80.8,No
4237-CLSMM,Male,2,Month-to-month,20,No
1452-VOQCH,Male,1,Month-to-month,75.1,No
4719-UMSIY,Male,6,Month-to-month,19.65,No
6614-VBEGU,Female,24,Month-to-month,69.45,No
0880-TKATG,Male,4,Month-to-month,101.15,Yes
3811-VBYBZ,Male,7,Month-to-month,99.8,Yes
1480-BKXGA,Male,72,Two year,116.05,No
2996-XAUVF,Male,70,Two year,40.05,No
9076-AXYIK,Male,64,Two year,102.1,No
5968-XQIVE,Male,72,One year,89.7,No
8896-RAZCR,Female,44,Two year,19.9,No
4640-UHDOS,Female,13,Month-to-month,55.95,Yes
4933-IKULF,Female,17,One year,20.65,No
3583-EKAPL,Male,1,Month-to-month,55,Yes
1304-BCCFO,Male,9,Month-to-month,70.05,No
4104-PVRPS,Male,24,Month-to-month,53.6,No
9399-APLBT,Female,1,Month-to-month,74.7,Yes
2359-KMGLI,Male,24,Month-to-month,80.25,Yes
3780-DDGSE,Male,35,Month-to-month,76.05,No
4431-EDMIQ,Female,7,Month-to-month,75.7,No
0306-JAELE,Male,5,Month-to-month,96.1,Yes
6227-HWPWX,Female,15,Month-to-month,69,Yes
0486-LGCCH,Male,11,Two year,19.65,No
0447-BEMNG,Female,48,Month-to-month,45.3,Yes
4612-SSVHJ,Female,20,Month-to-month,81.45,No
5168-MQQCA,Female,72,One year,108.5,No
5949-XIKAE,Female,8,Month-to-month,83.55,Yes
7971-HLVXI,Male,72,Two year,84.5,No
9094-AZPHK,Female,15,Month-to-month,100.15,No
3649-JPUGY,Male,72,Two year,88.6,No
4472-LVYGI,Female,0,Two year,52.55,No
8372-JUXUI,Male,1,Month-to-month,74.35,Yes
3552-CTCYF,Male,63,Two year,104.8,No
6778-YSNIH,Female,2,Month-to-month,59,No
0388-EOPEX,Female,2,Month-to-month,74.4,Yes
5756-OZRIO,Male,61,One year,64.05,No
6579-JPICP,Male,1,Month-to-month,20.4,No
8205-OTCHB,Male,22,One year,43.75,Yes
4134-BSXLX,Male,28,Month-to-month,60.9,No
0505-SPOOW,Female,70,Two year,19.8,No
6235-VDHOM,Female,5,Month-to-month,28.45,Yes
7783-YKGDV,Female,12,Month-to-month,99.7,Yes
4374-YMUSQ,Male,34,One year,116.25,No
4513-CXYIX,Female,71,Two year,80.7,No
3957-HHLMR,Female,70,One year,65.2,No
7803-XOCCZ,Female,52,Month-to-month,84.05,No
5736-YEJAX,Male,69,Two year,79.45,No
5609-CEBID,Female,20,Month-to-month,94.1,Yes
8981-FJGLA,Male,11,Month-to-month,78,No
7218-HKQFK,Male,2,Month-to-month,94.2,Yes
4636-QRJKY,Female,6,Month-to-month,80.5,Yes
1135-LMECX,Female,1,Month-to-month,19.85,No
4332-MUOEZ,Male,20,One year,94.3,No
8535-SFUTN,Male,61,Month-to-month,106.45,No
5956-VKDTT,Female,5,Month-to-month,74.35,Yes
8677-HDZEE,Female,56,Month-to-month,105.45,No
2475-MROZF,Male,30,Month-to-month,95,No
9412-GHEEC,Male,40,Month-to-month,104.8,Yes
3482-ABPKK,Female,28,One year,54.3,No
6705-LXORM,Female,5,Month-to-month,70.05,No
0257-ZESQC,Female,27,Month-to-month,75.2,Yes
7531-GQHME,Male,12,Month-to-month,20.05,No
5174-ITUMV,Male,67,One year,105.4,No
4109-CYRBD,Male,29,Month-to-month,51.6,No
0913-XWSCN,Male,55,Month-to-month,85.5,No
6825-UYPFK,Female,23,Month-to-month,75.6,Yes
8397-MVTAZ,Male,34,Month-to-month,100.05,Yes
0750-EBAIU,Male,52,One year,91.25,No
8606-CIQUL,Male,72,Two year,115.75,No
3571-DPYUH,Male,58,One year,94.7,No
7601-GNDYK,Male,35,Two year,19.6,No
0356-OBMAC,Female,56,Two year,99.9,No
8067-NIOYM,Female,24,Two year,21.1,No
1403-GYAFU,Male,70,Two year,20.05,No
4234-XTNEA,Male,2,Month-to-month,79.95,No
1297-VQDRP,Male,68,One year,107.15,No
9282-IZGQK,Female,1,Month-to-month,85,Yes
5348-CAGXB,Male,12,Month-to-month,89.55,No
0621-HJWXJ,Female,63,Month-to-month,81.55,No
